,RAJ2000,DEJ2000,P,F555W,e_F555W,F606W,e_F606W,F814W,e_F814W,WVI_555,e_WVI_555,Z,sig_clip
625,202.531237,47.191291,12.841494,25.222519,0.060161,25.058162,0.040033,24.596734,0.039181,23.807619,0.098648,9.124144, 
626,202.526940,47.201618,7.693904,26.050811,0.069881,25.638373,0.046573,24.642617,0.040360,22.866884,0.109473,9.140562,+
627,202.507088,47.167182,14.242651,25.853799,0.084481,25.497662,0.063936,24.607978,0.055489,23.036997,0.139011,9.184342,+
628,202.491273,47.160227,11.888194,25.673366,0.084838,25.386075,0.064181,24.634914,0.051687,23.325425,0.135516,9.207116,+
629,202.535842,47.181843,8.570735,25.418125,0.086065,25.215174,0.057042,24.642927,0.058982,23.665402,0.144184,9.100672,+
630,202.530723,47.188492,9.268130,25.536977,0.068105,25.297608,0.057353,24.636760,0.065487,23.501586,0.135953,9.125225,+
631,202.526132,47.168267,7.696858,25.414607,0.056736,25.212634,0.048798,24.639440,0.061339,23.661954,0.121918,9.120603,+
632,202.504590,47.187635,9.684343,25.594137,0.076063,25.343636,0.059985,24.664562,0.046196,23.492368,0.121356,9.228771,+
633,202.529718,47.180368,5.485680,25.362198,0.065121,25.178002,0.046083,24.654273,0.048131,23.761579,0.112887,9.123461,+
634,202.495685,47.168917,9.972389,25.367151,0.074132,25.173285,0.057076,24.624910,0.072654,23.688943,0.149702,9.223718,+
635,202.480025,47.178746,11.329294,22.221214,0.087521,21.974989,0.079615,21.310234,0.077252,20.161489,0.166247,9.294456, 
636,202.509977,47.211555,45.804459,22.304722,0.077977,22.053225,0.064739,21.376131,0.048103,20.205177,0.125147,9.197610, 
637,202.473933,47.195416,85.056065,22.372374,0.127264,22.168813,0.121480,21.599938,0.106911,20.625897,0.235284,9.355651,+
